date,pid,race,lane,startCourse,class,age,avgST_rc,ec_avgST,flying,late,ss_starts,ss_first,ss_second,ss_third,ms_winRate,ms_top2Rate,ms_top3Rate,d_avgST_rc,d_age,d_class,rank_avgST,rank_age,rank_class,mean_avgST_rc,mean_age,mean_class,winK_逃げ,loseK_逃げ,winK_差し,loseK_差し,winK_まくり,loseK_まくり,winK_まくり差し,loseK_まくり差し,winK_抜き,loseK_抜き,winK_恵まれ,loseK_恵まれ,winK_total,loseK_total,rank,win,st,decision
20250812,18,1R,1,1,2,49,0.16,0.17,0,0,23.0,17.0,1.0,2.0,73.9,78.2,86.9,0.0,9,-1,2,6,1,0.172,34.166666666666664,3.0,17,0,0,0,0,2,0,4,0,0,0,0,17,6,1,1,0.17,逃げ
20250812,18,1R,2,2,3,22,0.17,0.16,1,0,16.0,1.0,2.0,5.0,6.2,18.7,50.0,0.01,-18,0,3,2,2,0.172,34.166666666666664,3.0,0,10,0,1,1,0,0,4,0,0,0,0,1,15,4,0,0.17,逃げ
20250812,18,1R,3,3,3,39,0.18,0.18,0,0,23.0,3.0,2.0,3.0,13.0,21.7,34.7,0.0199999999999999,-1,0,4,4,3,0.172,34.166666666666664,3.0,0,9,1,2,1,5,1,4,0,0,0,0,3,20,2,0,0.25,逃げ
20250812,18,1R,4,4,3,36,0.15,0.12,0,0,17.0,0.0,3.0,2.0,0.0,17.6,29.4,-0.01,-4,0,1,3,4,0.172,34.166666666666664,3.0,0,12,0,0,0,3,0,2,0,0,0,0,0,17,5,0,0.19,逃げ
20250812,18,1R,5,5,3,39,0.2,0.19,0,0,21.0,0.0,2.0,3.0,0.0,9.5,23.8,0.04,-1,0,5,5,5,0.172,34.166666666666664,3.0,0,12,0,4,0,2,0,1,0,2,0,0,0,21,3,0,0.14,逃げ
20250812,18,1R,6,6,4,20,,0.26,0,0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20,1,6,1,6,0.172,34.166666666666664,3.0,0,17,0,5,0,4,0,4,0,1,0,1,0,32,6,0,0.12,逃げ
20250812,18,2R,1,1,1,24,0.16,0.14,0,0,31.0,21.0,5.0,1.0,67.7,83.8,87.1,0.0,-16,-2,2,1,1,0.1633333333333333,43.66666666666666,2.0,21,0,0,1,0,5,0,3,0,0,0,1,21,10,1,1,0.14,逃げ
20250812,18,2R,2,2,2,42,0.15,0.16,1,0,18.0,4.0,4.0,3.0,22.2,44.4,61.1,-0.01,2,-1,1,2,3,0.1633333333333333,43.66666666666666,2.0,0,8,4,0,0,3,0,3,0,0,0,0,4,14,5,0,0.15,逃げ
20250812,18,2R,3,3,1,46,0.16,0.16,0,0,19.0,5.0,1.0,6.0,26.3,31.5,63.1,0.0,6,-2,3,4,2,0.1633333333333333,43.66666666666666,2.0,0,12,1,0,2,2,0,0,1,0,1,0,5,14,2,0,0.17,逃げ
20250812,18,2R,4,4,3,57,0.16,0.15,1,0,19.0,1.0,2.0,5.0,5.2,15.7,42.1,0.0,17,0,4,6,5,0.1633333333333333,43.66666666666666,2.0,0,11,0,1,1,1,0,4,0,1,0,0,1,18,3,0,0.12,逃げ
