date,pid,race,lane,startCourse,class,age,avgST_rc,ec_avgST,flying,late,ss_starts,ss_first,ss_second,ss_third,ms_winRate,ms_top2Rate,ms_top3Rate,d_avgST_rc,d_age,d_class,rank_avgST,rank_age,rank_class,mean_avgST_rc,mean_age,mean_class,winK_逃げ,loseK_逃げ,winK_差し,loseK_差し,winK_まくり,loseK_まくり,winK_まくり差し,loseK_まくり差し,winK_抜き,loseK_抜き,winK_恵まれ,loseK_恵まれ,winK_total,loseK_total,rank,win,st,decision
20250813,14,4R,6,6,4,21,0.23,,2,0,,,,,,,,0.07,-19,1,5,1,6,0.186,39.333333333333336,3.1666666666666665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0.31,逃げ
20250813,14,5R,1,1,3,54,0.22,,0,0,,,,,,,,0.06,14,0,6,6,2,0.1916666666666666,38.333333333333336,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0.14,まくり差し
20250813,14,5R,2,2,3,52,0.19,,0,0,,,,,,,,0.03,12,0,3,5,3,0.1916666666666666,38.333333333333336,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.12,まくり差し
20250813,14,5R,3,3,3,35,0.2,,0,0,,,,,,,,0.04,-5,0,4,3,4,0.1916666666666666,38.333333333333336,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0.09,まくり差し
20250813,14,5R,4,4,3,36,0.16,,0,0,,,,,,,,0.0,-4,0,1,4,5,0.1916666666666666,38.333333333333336,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.13,まくり差し
20250813,14,5R,5,5,4,21,0.21,,0,0,,,,,,,,0.0499999999999999,-19,1,5,1,6,0.1916666666666666,38.333333333333336,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0.17,まくり差し
20250813,14,5R,6,6,2,32,0.17,,0,0,,,,,,,,0.01,-8,-1,2,2,1,0.1916666666666666,38.333333333333336,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.09,まくり差し
20250813,14,6R,1,1,3,30,0.17,,0,0,,,,,,,,0.01,-10,0,2,3,2,0.1849999999999999,32.666666666666664,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.15,逃げ
20250813,14,6R,2,2,2,37,0.16,,0,0,,,,,,,,0.0,-3,-1,1,5,1,0.1849999999999999,32.666666666666664,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.0,0.16,逃げ
20250813,14,6R,3,3,3,58,0.17,,0,0,,,,,,,,0.01,18,0,3,6,3,0.1849999999999999,32.666666666666664,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,0.12,逃げ
20250813,14,6R,4,4,4,18,0.2,,0,0,,,,,,,,0.04,-22,1,5,1,6,0.1849999999999999,32.666666666666664,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.19,逃げ
20250813,14,6R,5,5,3,23,0.17,,0,0,,,,,,,,0.01,-17,0,4,2,4,0.1849999999999999,32.666666666666664,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0.0,0.22,逃げ
20250813,14,6R,6,6,3,30,0.24,,0,0,,,,,,,,0.0799999999999999,-10,0,6,4,5,0.1849999999999999,32.666666666666664,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0.0,0.27,逃げ
20250813,14,7R,1,1,3,53,0.15,,0,0,,,,,,,,-0.01,13,0,1,5,1,0.1733333333333333,37.0,3.1666666666666665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.11,差し
20250813,14,7R,2,2,3,45,0.17,,0,0,,,,,,,,0.01,5,0,2,4,2,0.1733333333333333,37.0,3.1666666666666665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.1,差し
20250813,14,7R,3,3,3,27,0.17,,0,0,,,,,,,,0.01,-13,0,3,3,3,0.1733333333333333,37.0,3.1666666666666665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.09,差し
20250813,14,7R,4,4,3,24,0.19,,0,0,,,,,,,,0.03,-16,0,5,2,4,0.1733333333333333,37.0,3.1666666666666665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0.18,差し
20250813,14,7R,5,5,3,55,0.17,,0,0,,,,,,,,0.01,15,0,4,6,5,0.1733333333333333,37.0,3.1666666666666665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0.22,差し
20250813,14,7R,6,6,4,18,0.19,0.19,0,0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,-22,1,6,1,6,0.1733333333333333,37.0,3.1666666666666665,0,59,0,11,0,22,0,10,0,6,0,0,0,108,6,0,0.14,差し
20250813,14,8R,1,1,3,23,0.19,,1,0,,,,,,,,0.03,-17,0,4,3,1,0.1716666666666666,26.83333333333333,3.1666666666666665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0.43,抜き
20250813,14,8R,2,2,3,37,0.14,,0,0,,,,,,,,-0.0199999999999999,-3,0,1,5,2,0.1716666666666666,26.83333333333333,3.1666666666666665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.09,抜き
20250813,14,8R,3,3,3,22,0.14,,0,0,,,,,,,,-0.0199999999999999,-18,0,2,2,3,0.1716666666666666,26.83333333333333,3.1666666666666665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.02,抜き
20250813,14,8R,4,4,3,23,0.21,,0,0,,,,,,,,0.0499999999999999,-17,0,6,4,4,0.1716666666666666,26.83333333333333,3.1666666666666665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0.11,抜き
20250813,14,8R,5,5,3,38,0.16,,1,0,,,,,,,,0.0,-2,0,3,6,5,0.1716666666666666,26.83333333333333,3.1666666666666665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.09,抜き
20250813,14,8R,6,6,4,18,0.19,,1,0,,,,,,,,0.03,-22,1,5,1,6,0.1716666666666666,26.83333333333333,3.1666666666666665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0.07,抜き
20250813,14,9R,1,1,3,61,0.17,,0,0,,,,,,,,0.01,21,0,2,6,1,0.18,34.166666666666664,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0.2,まくり
20250813,14,9R,2,2,3,28,0.16,,1,0,,,,,,,,0.0,-12,0,1,3,2,0.18,34.166666666666664,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.18,まくり
20250813,14,9R,3,3,4,23,0.18,,0,0,,,,,,,,0.0199999999999999,-17,1,4,2,4,0.18,34.166666666666664,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.23,まくり
20250813,14,9R,4,4,3,34,0.18,,0,0,,,,,,,,0.0199999999999999,-6,0,5,4,3,0.18,34.166666666666664,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.25,まくり
20250813,14,9R,5,5,4,39,0.17,,0,0,,,,,,,,0.01,-1,1,3,5,5,0.18,34.166666666666664,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0.22,まくり
20250813,14,9R,6,6,4,20,0.22,,0,0,,,,,,,,0.06,-20,1,6,1,6,0.18,34.166666666666664,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0.26,まくり
20250813,14,10R,1,1,3,56,0.2,,0,0,,,,,,,,0.04,16,0,6,6,1,0.1783333333333333,39.66666666666666,3.1666666666666665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0.07,まくり
20250813,14,10R,2,2,3,32,0.16,,0,0,,,,,,,,0.0,-8,0,1,3,2,0.1783333333333333,39.66666666666666,3.1666666666666665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.1,まくり
20250813,14,10R,3,3,3,23,0.17,,0,0,,,,,,,,0.01,-17,0,3,1,3,0.1783333333333333,39.66666666666666,3.1666666666666665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.11,まくり
20250813,14,10R,4,4,4,23,0.19,,0,0,,,,,,,,0.03,-17,1,4,2,6,0.1783333333333333,39.66666666666666,3.1666666666666665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0.06,まくり
20250813,14,10R,5,5,3,52,0.16,,0,0,,,,,,,,0.0,12,0,2,4,4,0.1783333333333333,39.66666666666666,3.1666666666666665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0.08,まくり
20250813,14,10R,6,6,3,52,0.19,,0,0,,,,,,,,0.03,12,0,5,5,5,0.1783333333333333,39.66666666666666,3.1666666666666665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.1,まくり
20250813,14,11R,1,1,3,36,0.16,,0,0,,,,,,,,0.0,-4,0,2,5,1,0.1816666666666666,31.83333333333333,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.15,抜き
20250813,14,11R,2,2,3,38,0.21,,0,0,,,,,,,,0.0499999999999999,-2,0,5,6,2,0.1816666666666666,31.83333333333333,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.16,抜き
20250813,14,11R,3,3,3,31,0.14,,0,0,,,,,,,,-0.0199999999999999,-9,0,1,4,3,0.1816666666666666,31.83333333333333,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0.21,抜き
20250813,14,11R,4,4,3,30,0.24,,0,0,,,,,,,,0.0799999999999999,-10,0,6,3,4,0.1816666666666666,31.83333333333333,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0.21,抜き
20250813,14,11R,5,5,3,27,0.17,,0,0,,,,,,,,0.01,-13,0,3,1,5,0.1816666666666666,31.83333333333333,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.2,抜き
20250813,14,11R,6,6,3,29,0.17,,0,0,,,,,,,,0.01,-11,0,4,2,6,0.1816666666666666,31.83333333333333,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0.18,抜き
20250813,14,12R,1,1,2,38,0.15,,0,0,,,,,,,,-0.01,-2,-1,2,4,1,0.1583333333333333,35.5,2.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.18,逃げ
20250813,14,12R,2,2,2,32,0.17,,0,0,,,,,,,,0.01,-8,-1,5,2,2,0.1583333333333333,35.5,2.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0.15,逃げ
20250813,14,12R,3,3,2,37,0.16,,0,0,,,,,,,,0.0,-3,-1,3,3,3,0.1583333333333333,35.5,2.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0.18,逃げ
20250813,14,12R,4,4,2,39,0.16,,0,0,,,,,,,,0.0,-1,-1,4,5,4,0.1583333333333333,35.5,2.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0.16,逃げ
20250813,14,12R,5,5,3,45,0.17,,0,0,,,,,,,,0.01,5,0,6,6,5,0.1583333333333333,35.5,2.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.11,逃げ
20250813,14,12R,6,6,3,22,0.14,,0,0,,,,,,,,-0.0199999999999999,-18,0,1,1,6,0.1583333333333333,35.5,2.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.12,逃げ
